Title,Salary,City,Country,Years,Pronouns,Race,Orientation,Education
Director of Graphic Design,48500,COLORADO,USA,2,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Jr Visual Designer,50000,COLORADO,USA,4,SHE/HER,MIXED,STRAIGHT,COLLEGE
Senior Communications Engagement Specialist,81000,COLORADO,USA,6,SHE/HER,ASIAN,BI/PAN,COLLEGE
Interactive Designer,45000,COLUMBIA,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,43000,"COLUMBIA, SC",USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Artist,43860,"COLUMBIA, SC",USA,9,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer / Illustrator,100000,"COLUMBIA, SC",USA,12,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,53000,COLUMBUS OHIO,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Assistant Graphic Designer,53500,"COLUMBUS, OH",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Digital Designer,51000,"COLUMBUS, OHIO",USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Product Design Manager,115000,"COLUMBUS, OHIO",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,47500,"CRANBURY, NJ",USA,3,NON-BINARY,WHITE,BI/PAN,COLLEGE
Junior UX Designer,66000,CT,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Product Designer,300000,"CUPERTINO, CA",USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,42000,DALLAS,USA,2,HE/HIM,BLACK,BI/PAN,COLLEGE
Graphic Designer,50000,DALLAS,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior lead experience designer,140000,DALLAS,USA,16,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,37500,"DALLAS, TEXAS",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Marketing Manager,41000,"DALLAS, TEXAS",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,55000,"DALLAS, TEXAS",USA,8,SHE/HER,WHITE,GAY/LES,COLLEGE
Art Director,66000,"DALLAS, TEXAS",USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Web Designer,66000,"DALLAS, TEXAS",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Designer,38000,"DALLAS, TX",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Creative Director,98500,"DALLAS, TX",USA,19.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic designer,41000,DAVENPORT IOWA,USA,15,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Graphic designer,41000,DAVENPORT IOWA,USA,15,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Social Media Strategist,37500,DELAWARE,USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,37500,DELAWARE,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Product Designer,125000,DENER,USA,8,HE/HIM,WHITE,STRAIGHT,COLLEGE
Production Artist,37000,DENVER,USA,3,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Brand Designer,41000,DENVER,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Marketing Coordinator/Graphic Designer,41100,DENVER,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,58000,DENVER,USA,15,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,65000,DENVER,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Digital Graphic Designer,75000,DENVER,USA,10,HE/HIM,WHITE,STRAIGHT,COLLEGE
Product Designer,105000,DENVER,USA,6,SHE/HER,MIXED,STRAIGHT,MASTER
Senior Design,114500,DENVER ,USA,4,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,50000,DENVER CO,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Advisory Solutions Architect,190000,DENVER CO,USA,25,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,87000,DENVER COLORADO,USA,9,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Production Designer,51000,"DENVER, CO",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,54000,"DENVER, CO",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,58000,"DENVER, CO",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Sr Designer,62000,"DENVER, CO",USA,6,HE/HIM,WHITE,GAY/LES,COLLEGE
UI Designer,63000,"DENVER, CO",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,73000,"DENVER, CO",USA,6.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Product Designer,105000,"DENVER, CO",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Product Designer,115000,"DENVER, CO",USA,7,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior UX Designer,143000,"DENVER, CO",USA,12,HE/HIM,WHITE,STRAIGHT,COLLEGE
UX Designer,149000,"DENVER, CO",USA,3,SHE/HER,WHITE,GAY/LES,COLLEGE
Creative Director,93000,DES MOINES,USA,13,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,47700,"DES MOINES, IA",USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Graphic Designer,35000,DETROIT,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Production Artist,40000,DETROIT,USA,6,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Graphic designer,45000,DETROIT,USA,7,SHE/HER,ASIAN,GAY/LES,COLLEGE
Graphic Designer,45000,DETROIT,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Graphic Designer,50000,DETROIT,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Sr. Graphic Designer,51300,DETROIT,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Interaction designer,68000,DETROIT,USA,2.5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Product Designer,82500,DETROIT,USA,5,HE/HIM,BLACK,GAY/LES,COLLEGE
Junior art director / designer,32000,DETROIT ,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Art Director,38000,DETROIT MI,USA,2,NON-BINARY,ASIAN,BI/PAN,COLLEGE
Associate Graphic Designer,50000,"DETROIT, MI",USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Brand Identity Designer,50000,"DETROIT, MI",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Graphic Designer,38000,"DORAL, FL",USA,3,SHE/HER,MIXED,STRAIGHT,COLLEGE
Visual Designer ,65000,DURHAM ,USA,20,SHE/HER,ASIAN,STRAIGHT,MASTER
Junior Designer,31000,"DURHAM, NC",USA,0,HE/HIM,WHITE,STRAIGHT,COLLEGE
Marketing Designer,43000,"DURHAM, NC",USA,8,HE/HIM,WHITE,STRAIGHT,PHD
Graphic Designer,43000,EAST COAST,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,41000,EAST TENNESSEE,USA,5,SHE/HER,WHITE,STRAIGHT,MASTER
UX/UI Digital Designer,65000,EAST TENNESSEE,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,32500,EAST TEXAS,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Marketing Specialist,36500,EASTERN NC,USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,64000,"EDEN PRAIRIE, MN",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphics Associate ,48000,"ESSEX COUNTY, NJ",USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Assistant Professor,56100,"FAIRMONT, WV",USA,6,SHE/HER,WHITE,STRAIGHT,MASTER
UX/UI Designer,42000,FARGO,USA,1,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Web & UI/UX Designer,48000,FARGO,USA,1.5,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Product Designer,65000,FARGO,USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
UX/UI Design Lead,75000,FARGO,USA,6,HE/HIM,WHITE,STRAIGHT,COLLEGE
UI Designer,38000,"FARGO, ND",USA,2,NON-BINARY,INDEGIOUS,BI/PAN,ASSOCIATE
Web/Graphic Designer,40000,"FAYETTEVILLE, AR",USA,12,SHE/HER,WHITE,STRAIGHT,COLLEGE
Lead designer ,55000,FLORIDA,USA,5,HE/HIM,MIXED,STRAIGHT,COLLEGE
Jr. Art Director,42000,FORT WORTH,USA,2,SHE/HER,WHITE,GAY/LES,COLLEGE
Lead Graphic Designer,74000,FORT WORTH,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Digital Designer,40000,"FORT WORTH, TEXAS",USA,0.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic designer ,66000,"FORT WORTH, TX",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Web Designer/Developer,50000,FRANKLIN,USA,2,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,30000,"FREDERICK, MARYLAND",USA,8,SHE/HER,WHITE,GAY/LES,MASTER
Copy desk chief,39998,"FREDERICK, MD",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,49000,"GENEVA, IL ",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic/Web Designer,58000,"GERMANTOWN, MARYLAND (NEAR D.C.)",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,46000,GRAND RAPIDS,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Director & Designer,75000,GRAND RAPIDS / MIDWEST,USA,21,SHE/HER,MIXED,STRAIGHT,COLLEGE
Video Production Manager,33600,"GRAND RAPIDS, MI",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,50000,"GRAND RAPIDS, MI",USA,10,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Design Specialist,70000,GREATER CHICAGO AREA,USA,1,SHE/HER,ASIAN,STRAIGHT,MASTER
Sr. Graphic Designer,73000,GREATER PHILADELPHIA,USA,12,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Art Director,82000,GREATER PHILADELPHIA,USA,8,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,40000,GREATER PHILADELPHIA AREA,USA,1,SHE/HER,MIXED,STRAIGHT,COLLEGE
Senior graphic designer ,61000,GREATER PHILADELPHIA AREA,USA,13,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Professional Technologist,53000,GREATER PITTSBURGH,USA,8,SHE/HER,WHITE,STRAIGHT,MASTER
Product Designer,63000,GREATER SAN DIEGO REGION,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Artist,56000,GREATER SEATTLE AREA,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Design and Marketing Specialist,41500,"GREENVILLE, SC",USA,1,NON-BINARY,ASIAN,BI/PAN,COLLEGE
Mid-level Graphic Designer,60000,"HANOVER, MARYLAND",USA,5,SHE/HER,BLACK,STRAIGHT,COLLEGE
Creative Design Specialist ,48000,"HARRISBURG, PA",USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Lead Designer,52500,"HARRISBURG, PA",USA,12,HE/HIM,ASIAN,STRAIGHT,ASSOCIATE
Graphic Designer,69300,HEALDSBURG,USA,8,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Experience Designer,42000,HONOLULU,USA,6,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Design & Brand Manager,72000,HONOLULU,USA,19,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic and web designer ,23000,HOUSTON,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,52000,HOUSTON,USA,5,SHE/HER,WHITE,BI/PAN,COLLEGE
Creative Specialist,57000,HOUSTON,USA,12,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Art Director,60000,HOUSTON,USA,36,HE/HIM,WHITE,GAY/LES,MASTER
Assistant Professor,64000,HOUSTON,USA,5,HE/HIM,LATINO/HISPANIC,STRAIGHT,MASTER
Senior Project Designer ,65000,HOUSTON,USA,14,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Jr Designer,38000,"HOUSTON, TX",USA,2,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Junior Graphic Designer,40000,"HOUSTON, TX",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,57000,"HOUSTON, TX",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Lead Graphic Designer,53000,HUDSON,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Communication and marketing coordinator ,64800,IDAHO,USA,12,HE/HIM,ASIAN,BI/PAN,COLLEGE
Graphic Designer ,50000,IDAHO ,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Design Assistant,22000,ILLINOIS,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,55000,INDIANA,USA,20,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Designer,78000,INDIANA,USA,15,HE/HIM,WHITE,STRAIGHT,ASSOCIATE
Designer,45700,INDIANAPOLIS,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Designer,55000,INDIANAPOLIS,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,55125,INDIANAPOLIS,USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,55700,INDIANAPOLIS,USA,7,HE/HIM,WHITE,GAY/LES,COLLEGE
Graphic Designer,59803,INDIANAPOLIS,USA,25,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,61200,INDIANAPOLIS,USA,12,SHE/HER,ASIAN,STRAIGHT,COLLEGE
UX Designer,70000,INDIANAPOLIS,USA,3,HE/HIM,WHITE,STRAIGHT,HIGHSCHOOL
Designer,36000,"INDIANAPOLIS, IN",USA,5,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Graphic Designer,50000,"INDIANAPOLIS, IN",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Coordiantor,56000,IOWA,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,IOWA CITY,USA,8,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Creative Coordinator (Graphic Designer) ,56000,IOWA CITY,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer ,40000,IOWA CITY ,USA,5,HE/HIM,WHITE,STRAIGHT,HIGHSCHOOL
Senior Graphic Designer,79000,IRVINE,USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Marketing and Proposal Coordinator,57200,IRVING,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer 1,38700,"JACKSONVILLE, FL",USA,2.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic designer,47600,"JEFFERSON CITY, MO",USA,15,SHE/HER,ASIAN,DEMI,COLLEGE
Multimedia Designer ,36000,"KALAMAZOO, MI",USA,5,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Design + Marketing Mananger,40000,"KALAMAZOO, MI",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Director,42000,KANSAS,USA,2.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Web/Graphic Designer,35000,KANSAS CITY,USA,1,SHE/HER,WHITE,ASEXUAL,COLLEGE
Production Designer,41000,KANSAS CITY,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic designer,48000,KANSAS CITY,USA,9,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic Designer II,48500,KANSAS CITY,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,51000,KANSAS CITY,USA,6,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,93000,KANSAS CITY,USA,18,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Designer,98000,KANSAS CITY,USA,16,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,62220,"KANSAS CITY, KANSAS",USA,4,HE/HIM,WHITE,BI/PAN,ASSOCIATE
Graphic Designer,40000,"KANSAS CITY, MO",USA,6,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Art Director,59160,"KANSAS CITY, MO",USA,6,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,60000,"KANSAS CITY, MO",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,65000,"KANSAS CITY, MO",USA,9,SHE/HER,WHITE,BI/PAN,COLLEGE
Marketing Communications Manager,55000,KEARNEY,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Jr. 3D Designer ,65000,LA,USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,38000,"LA COUNTY, CA",USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Graphic Artist,34350,"LARGO, FLORIDA",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Design Manager,50000,LAS VEGAS,USA,11,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic designer,48880,LAWRENCE,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,48000,"LEHI, UTAH",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,65000,"LEHI, UTAH",USA,7,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Art Director,75000,LEHI/GREATER SALT LAKE CITY,USA,7,HE/HIM,MIXED,STRAIGHT,COLLEGE
UX Designer,75000,LEHI/UT,USA,3,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic artist 1,35000,LENEXA KANSAS,USA,2.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,58000,LEXINGTON,USA,9,HE/HIM,MIXED,STRAIGHT,COLLEGE
UX Designer,83000,LEXINGTON KY,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Graphic Designer,31500,"LEXINGTON, KY",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,67000,"LEXINGTON, KY",USA,12,HE/HIM,ASIAN,GAY/LES,COLLEGE
Senior Designer,59000,LINCOLN,USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphics Coordinator,43500,"LINCOLN, NE",USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Junior Creative Director,50000,"LINCOLN, NE",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,36000,"LISLE, ILLINOIS",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer ,32000,"LITTLE FALLS, NJ",USA,4,HE/HIM,ASIAN,STRAIGHT,COLLEGE
ACD,145000,LIVE IN NY/BUT WORKING REMOTELY ,USA,15,SHE/HER,WHITE,STRAIGHT,MASTER
Art director/designer,103000,"LONG BEACH, CA",USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Entry Level Graphic Designer/Equipment Operator  ,32760,"LONG ISLAND, NY",USA,7,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Graphic Designer (Part Time),24000,LOS ANGELES,USA,5,SHE/HER,LATINO/HISPANIC,STRAIGHT,MASTER
Assistant,32000,LOS ANGELES,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Production Design Coordinator,43000,LOS ANGELES,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Junior Graphic Designer,45000,LOS ANGELES,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Production Designer,50000,LOS ANGELES,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Print Coordinator / Jr. Designer,51500,LOS ANGELES,USA,4,SHE/HER,MIXED,STRAIGHT,COLLEGE
Contract Graphic Designer ,52000,LOS ANGELES,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,54000,LOS ANGELES,USA,9,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer ,55000,LOS ANGELES,USA,6,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Graphic Designer,65000,LOS ANGELES,USA,5,SHE/HER,MIXED,STRAIGHT,COLLEGE
Graphic Designer,65000,LOS ANGELES,USA,3,SHE/HER,WHITE,STRAIGHT,MASTER
Designer,65000,LOS ANGELES,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,70000,LOS ANGELES,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,73000,LOS ANGELES,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Sr. Graphic Designer,75000,LOS ANGELES,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director,75000,LOS ANGELES,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Designer,77000,LOS ANGELES,USA,2.5,HE/HIM,ASIAN,GAY/LES,COLLEGE
Senior Designer,80850,LOS ANGELES,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
JR Designer,85000,LOS ANGELES,USA,7,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
UX/UI Designer,90000,LOS ANGELES,USA,3,SHE/HER,ASIAN,QUEER/FLUID,COLLEGE
Lead UI/UX Designer,95000,LOS ANGELES,USA,15,SHE/HER,BLACK,BI/PAN,COLLEGE
Senior Graphic Designer,95000,LOS ANGELES,USA,13,HE/HIM,MIXED,STRAIGHT,COLLEGE
Senior Designer,96000,LOS ANGELES,USA,5,SHE/HER,MIXED,BI/PAN,COLLEGE
Associate Creative Director,96000,LOS ANGELES,USA,13,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
UX Designer,99000,LOS ANGELES,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Creative Director,110000,LOS ANGELES,USA,8,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Design Director,110000,LOS ANGELES,USA,10,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Senior Design Lead,114000,LOS ANGELES,USA,15,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Art Director,115000,LOS ANGELES,USA,9,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Deputy Design Director,120000,LOS ANGELES,USA,13,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Art Director,120000,LOS ANGELES,USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
lead brand dsigner,125000,LOS ANGELES,USA,10,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Creative Director,150000,LOS ANGELES,USA,30,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic designer ,62000,LOS ANGELES ,USA,4,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Art Director,70000,LOS ANGELES ,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic designer ,93000,LOS ANGELES ,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
"Head of Design, Brand and Product",162000,LOS ANGELES ,USA,14,HE/HIM,ASIAN,STRAIGHT,MASTER
Art Director,75000,LOS ANGELES / LA,USA,6,SHE/HER,LATINO/HISPANIC,QUEER/FLUID,COLLEGE
Graphic Designer,52000,"LOS ANGELES, CA",USA,1,SHE/HER,MIXED,STRAIGHT,COLLEGE
Production Artist/Graphic Designer,58000,"LOS ANGELES, CA",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
"Director, Creative Services",66300,"LOS ANGELES, CA",USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Visual Designer/Art Director/Motion Graphics Artist,70000,"LOS ANGELES, CA",USA,6,SHE/HER,MIXED,QUEER/FLUID,COLLEGE
Senior Graphic Designer,76100,"LOS ANGELES, CA",USA,9,HE/HIM,WHITE,STRAIGHT,ASSOCIATE
Design Director,155000,"LOS ANGELES, CA",USA,12,HE/HIM,WHITE,STRAIGHT,COLLEGE
Associate Designer,75000,"LOS ANGELES, CA (REMOTE)",USA,1,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,32000,"LOUISVILLE, KENTUCKY",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Designer,41000,"LOUISVILLE, KENTUCKY",USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior End User Experience Designer,80000,LOUISVILLLE,USA,1,SHE/HER,MIXED,STRAIGHT,COLLEGE
